# s_m; t_s; f_x_fl_N; f_y_fl_N; f_z_fl_N; f_x_fr_N; f_y_fr_N; f_z_fr_N;f_x_rl_N; f_y_rl_N; f_z_rl_N; f_x_rr_N;f_y_rr_N; f_z_rr_N;
114.0; 10.696; -180.7; 320.7; 371.4; -180.7; 449.0; 484.0; -122.2; 127.3; 346.2; -122.2; 155.1; 458.8
117.0; 11.106; -188.5; 251.0; 372.6; -188.5; 429.3; 468.9; -127.4; 128.5; 342.5; -127.4; 145.2; 438.8
120.0; 11.554; -5.1; 238.9; 349.3; -5.1; 443.1; 455.1; -5.1; 128.5; 352.2; -5.1; 141.8; 458.0
123.0; 11.958; -5.1; 194.5; 347.2; -5.1; 446.8; 454.5; -5.1; 161.4; 349.5; -5.1; 174.7; 456.9
126.0; 12.354; -5.1; 232.6; 338.2; -5.1; 445.7; 453.0; 95.0; 177.7; 351.7; 95.0; 194.6; 466.5
129.0; 12.775; -5.1; 186.5; 337.0; -5.1; 448.0; 456.5; 83.5; 208.0; 349.5; 83.5; 235.2; 469.0
132.0; 13.214; -5.1; 247.3; 320.9; -5.1; 444.0; 461.6; 258.6; 242.6; 354.6; 258.6; 302.5; 495.2
135.0; 13.614; -5.1; 169.3; 330.9; -5.1; 328.9; 462.8; 230.9; 280.5; 363.3; 230.9; 358.0; 495.2
138.0; 13.962; -5.1; 69.2; 351.1; -5.1; 122.6; 448.6; 256.2; 291.6; 388.2; 256.2; 351.0; 485.7
141.0; 14.266; -5.1; -63.5; 377.1; -5.1; -69.4; 424.3; 340.0; 256.5; 425.9; 340.0; 280.1; 473.1
144.0; 14.537; -5.1; -164.6; 403.0; -5.1; -163.6; 401.5; 436.5; 157.6; 465.5; 436.5; 157.5; 464.1
147.0; 14.781; -5.1; -158.5; 422.7; -5.1; -145.8; 393.6; 461.3; 28.0; 491.2; 461.3; 26.7; 462.1
150.0; 15.003; -5.1; 1.3; 426.0; -5.1; 1.4; 404.2; 467.4; -96.5; 498.4; 467.4; -92.9; 476.5
153.0; 15.211; -5.1; 243.0; 411.7; -5.1; 256.2; 432.6; 460.2; -156.8; 486.2; 460.2; -162.5; 507.1
156.0; 15.407; -5.1; 346.2; 393.2; -5.1; 408.8; 463.1; 465.5; -72.3; 471.1; 465.5; -81.4; 541.0
159.0; 15.599; -5.1; 367.3; 396.6; -5.1; 467.6; 503.6; 36.1; 38.7; 426.2; 36.1; 47.0; 533.3
162.0; 15.802; -203.6; 344.6; 400.2; -203.6; 456.2; 524.0; -137.4; 133.7; 385.1; -137.4; 170.0; 508.8
165.0; 16.023; -355.6; 204.0; 410.0; -355.6; 273.5; 517.6; -238.8; 219.9; 361.4; -238.8; 275.5; 469.0
168.0; 16.277; -341.9; -38.6; 418.6; -341.9; -41.9; 483.2; -220.7; 295.3; 368.7; -220.7; 341.2; 433.3
171.0; 16.583; -191.7; -347.2; 433.9; -191.7; -336.8; 425.4; -113.4; 285.1; 409.3; -113.4; 282.2; 400.8
174.0; 16.948; -220.0; -397.5; 454.3; -220.0; -319.0; 395.6; -148.3; 62.8; 419.1; -148.3; 58.0; 360.3
177.0; 17.368; -5.1; -416.1; 447.1; -5.1; -274.4; 359.9; -5.1; -43.1; 450.6; -5.1; -39.3; 363.4
180.0; 17.858; -5.1; -435.1; 452.1; -5.1; -236.1; 348.0; 39.8; -136.5; 460.1; 39.8; -123.3; 356.0
183.0; 18.399; -5.1; -450.3; 457.3; -5.1; -275.6; 335.2; 122.6; -199.0; 474.9; 122.6; -173.4; 352.8
186.0; 18.899; -5.1; -456.4; 465.4; -5.1; -304.1; 325.7; 171.1; -268.6; 489.1; 171.1; -220.5; 349.5
189.0; 19.338; -5.1; -464.3; 472.7; -5.1; -305.3; 318.1; 235.2; -336.6; 505.0; 235.2; -259.8; 350.4
192.0; 19.745; -5.1; -411.8; 478.9; -5.1; -187.7; 334.0; 30.9; -374.7; 488.6; 30.9; -285.5; 343.7
195.0; 20.085; -5.1; -261.2; 468.0; -5.1; -116.2; 336.1; 151.2; -427.7; 491.9; 151.2; -326.8; 360.1
198.0; 20.380; -5.1; -23.8; 452.2; -5.1; 3.5; 357.2; 132.4; -435.8; 474.8; 132.4; -356.0; 379.8
201.0; 20.697; -5.1; 246.2; 416.6; -5.1; 227.9; 387.5; 238.4; -371.9; 452.4; 238.4; -349.7; 423.2
204.0; 21.039; -112.4; 336.5; 396.8; -112.4; 386.9; 443.8; -76.6; -136.0; 383.6; -76.6; -146.8; 430.7
207.0; 21.380; -5.1; 315.9; 365.9; -5.1; 416.0; 451.8; -5.1; 8.7; 371.7; -5.1; 9.9; 457.6
210.0; 21.716; -5.1; 274.3; 356.1; -5.1; 415.2; 458.7; -5.1; 96.6; 361.4; -5.1; 111.9; 464.0
213.0; 22.072; -5.1; 259.2; 338.9; -5.1; 414.5; 458.8; 189.1; 168.5; 366.6; 189.1; 202.7; 486.5
